Id,Name
above_health_percent,above_health_percent
advancements,advancements
blocks,blocks
damage_cause,damage_cause
enchant,enchant
entities,entities
envoy_type,envoy_type
from_spawner,from_spawner
fully_charged,fully_charged
fully_grown,fully_grown
honey_level_full,honey_level_full
is_behind_victim,is_behind_victim
is_boss,is_boss
is_expression_true,is_expression_true
is_npc,is_npc
is_passive,is_passive
item_durability_above,item_durability_above
item_durability_above_percent,item_durability_above_percent
item_durability_below,item_durability_below
item_durability_below_percent,item_durability_below_percent
items,items
job,job
magic_type,magic_type
npc,npc
on_max_health,on_max_health
pet,pet
player_name,player_name
player_placed,player_placed
potion_effect,potion_effect
projectiles,projectiles
quest,quest
region,region
scroll,scroll
sheep_color,sheep_color
shop_item,shop_item
skill,skill
spawner_entity,spawner_entity
swept,swept
task,task
text,text
text_contains,text_contains
this_item,this_item
value_above,value_above
value_below,value_below
value_equals,value_equals
victim_conditions,victim_conditions
victim_name,victim_name
vote_service,vote_service
