Id,Name
alt_click,alt_click
bite,bite
block_item_drop,block_item_drop
bow_attack,bow_attack
breed,breed
brew,brew
brew_ingredient,brew_ingredient
buy_item,buy_item
cast_rod,cast_rod
catch_entity,catch_entity
catch_fish,catch_fish
catch_fish_fail,catch_fish_fail
change_armor,change_armor
change_world,change_world
click_block,click_block
click_entity,click_entity
collect_envoy,collect_envoy
complete_advancement,complete_advancement
complete_quest,complete_quest
complete_task,complete_task
consume,consume
craft,craft
damage_item,damage_item
death,death
disable,disable
drop_item,drop_item
empty_bucket,empty_bucket
enable,enable
enchant_<type>,enchant_<type>
enchant_item,enchant_item
enter_bed,enter_bed
enter_region,enter_region
entity_break_door,entity_break_door
entity_catch_fire_from_block,entity_catch_fire_from_block
entity_catch_fire_from_entity,entity_catch_fire_from_entity
entity_damage,entity_damage
entity_damage_by_entity,entity_damage_by_entity
entity_death,entity_death
entity_item_drop,entity_item_drop
entity_spawn,entity_spawn
entity_target,entity_target
entity_teleport,entity_teleport
fall_damage,fall_damage
fill_bucket,fill_bucket
gain_hunger,gain_hunger
gain_job_xp,gain_job_xp
gain_pet_xp,gain_pet_xp
gain_skill_xp,gain_skill_xp
gain_task_xp,gain_task_xp
gain_xp,gain_xp
global_static_%interval%,global_static_%interval%
headshot,headshot
heal,heal
hold_item,hold_item
hook_in_ground,hook_in_ground
inscribe,inscribe
item_break,item_break
jobs_level_up,jobs_level_up
join,join
join_job,join_job
jump,jump
kill,kill
leave,leave
leave_bed,leave_bed
leave_job,leave_job
leave_region,leave_region
left_click_npc,left_click_npc
level_up_item,level_up_item
level_up_job,level_up_job
level_up_pet,level_up_pet
level_up_skill,level_up_skill
level_up_xp,level_up_xp
lose_hunger,lose_hunger
lose_potion_effect,lose_potion_effect
melee_attack,melee_attack
mine_block,mine_block
mine_block_progress,mine_block_progress
move,move
pick_up_item,pick_up_item
place_block,place_block
potion_effect,potion_effect
projectile_hit,projectile_hit
projectile_launch,projectile_launch
reel_in,reel_in
regen_magic,regen_magic
register_vote,register_vote
respawn,respawn
right_click_npc,right_click_npc
run_command,run_command
scyther_auto_collect,scyther_auto_collect
scyther_auto_sell,scyther_auto_sell
sell_item,sell_item
send_message,send_message
shear_entity,shear_entity
shield_block,shield_block
shoot_bow,shoot_bow
smelt,smelt
smith_item,smith_item
start_quest,start_quest
static_%interval%,static_%interval%
swap_hands,swap_hands
swing,swing
take_damage,take_damage
take_entity_damage,take_entity_damage
tame_animal,tame_animal
teleport,teleport
toggle_flight,toggle_flight
toggle_sneak,toggle_sneak
toggle_sprint,toggle_sprint
trident_attack,trident_attack
try_inscribe,try_inscribe
villager_trade,villager_trade
win_raid,win_raid
