Id,Name
above_balance,above_balance
above_global_points,above_global_points
above_health_percent,above_health_percent
above_hunger_percent,above_hunger_percent
above_magic,above_magic
above_points,above_points
above_xp_level,above_xp_level
above_y,above_y
any_of,any_of
at_least_of,at_least_of
below_balance,below_balance
below_global_points,below_global_points
below_health_percent,below_health_percent
below_hunger_percent,below_hunger_percent
below_magic,below_magic
below_points,below_points
below_xp_level,below_xp_level
below_y,below_y
can_afford_price,can_afford_price
global_points_equal,global_points_equal
has_active_job,has_active_job
has_active_pet,has_active_pet
has_boss_bar_visible,has_boss_bar_visible
has_completed_advancement,has_completed_advancement
has_completed_quest,has_completed_quest
has_completed_task,has_completed_task
has_ecoitem,has_ecoitem
has_enchant,has_enchant
has_item,has_item
has_item_data,has_item_data
has_job_level,has_job_level
has_mana,has_mana
has_permission,has_permission
has_pet,has_pet
has_pet_level,has_pet_level
has_potion_effect,has_potion_effect
has_quest_active,has_quest_active
has_reforge,has_reforge
has_scoreboard_visible,has_scoreboard_visible
has_scroll,has_scroll
has_skill_level,has_skill_level
has_talisman,has_talisman
in_air,in_air
in_biome,in_biome
in_block,in_block
in_bubble,in_bubble
in_lava,in_lava
in_mainhand,in_mainhand
in_offhand,in_offhand
in_rain,in_rain
in_region,in_region
in_slot,in_slot
in_water,in_water
in_world,in_world
is_alive,is_alive
is_booster_active,is_booster_active
is_expression_true,is_expression_true
is_falling,is_falling
is_flying,is_flying
is_frozen,is_frozen
is_gliding,is_gliding
is_night,is_night
is_op,is_op
is_sneaking,is_sneaking
is_sprinting,is_sprinting
is_storm,is_storm
is_submerged,is_submerged
is_swimming,is_swimming
is_wearing_set,is_wearing_set
item_data_equals,item_data_equals
item_level_above,item_level_above
item_level_below,item_level_below
item_level_equals,item_level_equals
item_points_above,item_points_above
item_points_below,item_points_below
item_points_equal,item_points_equal
light_level_below,light_level_below
near_entity,near_entity
on_fire,on_fire
on_ground,on_ground
placeholder_contains,placeholder_contains
placeholder_equals,placeholder_equals
placeholder_greater_than,placeholder_greater_than
placeholder_less_than,placeholder_less_than
points_equal,points_equal
riding_entity,riding_entity
standing_on_block,standing_on_block
stat_above,stat_above
stat_below,stat_below
stat_equals,stat_equals
wearing_boots,wearing_boots
wearing_chestplate,wearing_chestplate
wearing_helmet,wearing_helmet
wearing_leggings,wearing_leggings
within_radius_of,within_radius_of
